app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,cpu8_todo_queue,cpu9_todo_queue,cpu10_todo_queue,cpu11_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
14,wifi-tx-nb-x86,67888,25986453,100,6,1,209522925394626,0,36052498,2449,80851,4910,1,1,1,1,1,1,1,1,1,1,1,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,1110103,29625,565,3397,51,26,90887,5120,9992,12249665,92308,3231,26909,217,0,0,0,0
28,temporal_mitigation-noapi-x86,61688,630878,0,0,0,209522955244640,29850014,14959617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,1757268,11039,2635,5348,100,0,0,0,0
23,radar_correlator-noapi-x86,20208,399926,0,0,0,209522961487588,6242948,9303060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,1152024,11763,3860,3967,109,0,0,0,0
19,temporal_mitigation-x86,57392,5028137,4,1,1,209522975634059,14146471,13416458,3550,6961,5569,0,0,0,1,0,1,1,1,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,23064,617,36,99,7,12,2333,152,315,1722237,14703,3083,1987,89,0,0,0,0
26,radar_correlator-x86,20136,1010049,3,1,1,209522984736347,9102288,9221998,19953,22756,21249,0,1,1,1,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,79224,2,0,15,15,8,48391,942,521,864624,14388,2067,2780,89,0,0,0,0
5,SAR-noapi-x86,20640,158363464,0,0,0,209522885206725,-99529622,166948341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,197912476,708745,116079,269273,1485,463,52623875,465742,126903
29,temporal_mitigation-noapi-x86,61688,4501212,0,0,0,209523105876441,220669716,7997261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,1740370,14717,1659,7781,137,0,0,0,0
24,radar_correlator-noapi-x86,20208,818995,0,0,0,209523133378472,27502031,11654524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,1082356,9289,1929,2877,37,0,0,0,0
6,SAR-noapi-x86,20640,141325242,0,0,0,209523019831734,-113546738,147067457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,169950429,1125879,218226,383288,1241,644,27163519,432469,142359
9,pulse_doppler-nb-x86,20528,262331854,512,38,14,209522899037191,-120794543,268439508,2157,196461,10553,14,13,9,8,12,11,11,14,12,12,12,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,4366795,181477,11204,26349,1269,454,602028,23255,37231,18110136,563164,36212,76981,1194,0,0,0,0
20,temporal_mitigation-x86,57392,3500348,4,1,1,209523172590791,273553600,3823605,2293,5317,3928,1,1,1,0,0,0,0,0,0,0,1,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,13925,1080,32,152,6,0,3295,160,259,1713787,16708,1929,5164,76,0,0,0,0
17,SAR_nb-x86,24968,222038943,2305,445,50,209522961487588,-211103203,231115494,497,9976431,16817,46,42,43,46,39,46,47,42,42,50,49,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,44806333,750506,238726,80418,2406,216,6696792,203841,215865,153698131,1021042,120851,447745,369,404,36173068,261613,277571
15,wifi-tx-nb-x86,67888,87936381,100,10,2,209523098437663,136950075,95665075,2065,2815440,39876,1,1,1,1,1,1,1,1,1,1,2,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,827041,36838,2827,6563,274,106,124897,6259,14965,12211796,82748,18665,34247,237,0,0,0,0
27,radar_correlator-x86,20136,66754567,3,1,1,209523174236979,75799316,67010439,16857,37664992,17351778,0,0,0,1,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,243860,6349,1052,483,62,0,0,290,565,912478,18541,4628,4131,167,0,0,0,0
30,temporal_mitigation-noapi-x86,61688,531276,0,0,0,209523256507771,82270792,8741157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,1741833,9632,2360,5027,45,0,0,0,0
25,radar_correlator-noapi-x86,20208,3958000,0,0,0,209523306764341,50256570,26219710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,1087115,11045,2046,6333,27,0,0,0,0
7,SAR-noapi-x86,20640,196232154,0,0,0,209523163767736,-142996605,201855550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,236418387,1386971,392797,347469,1522,505,33549754,27421,81561
31,temporal_mitigation-noapi-x86,61688,1361263,0,0,0,209523407139541,243371805,9787142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,1749761,8337,4673,4712,74,0,0,0,0
21,temporal_mitigation-x86,57392,62218766,4,1,1,209523369416982,-37722559,70605726,6597,136855,55719,0,0,0,0,1,1,0,0,0,1,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,1364,1935,485,137,6,5,0,132,290,1711463,17510,7129,8822,135,0,0,0,0
8,SAR-noapi-x86,20640,160003986,0,0,0,209523303730068,-65686914,169657487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,228579247,1287434,555260,184225,1495,200,34022542,91415,82596
32,temporal_mitigation-noapi-x86,61688,1059619,0,0,0,209523557770669,254040601,9271142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,0,0,0,0,0,0,0,0,0,1739395,8881,2768,5050,47,0,0,0,0
22,temporal_mitigation-x86,57392,31006347,4,1,1,209523566309138,8538469,38609705,4795,8209,6451,0,0,0,1,0,0,1,0,0,1,0,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,15802,388,167,131,3,4,5648,201,473,1712816,14931,4854,5181,99,0,0,0,0
16,wifi-tx-nb-x86,67888,434548115,100,10,2,209523271477788,-294831350,442766855,1829,313532,22076,1,1,2,1,2,2,1,2,1,1,1,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,1110256,31574,5984,3439,314,128,174382,8595,12038,2450483,55096,39419,32625,257,128,0,0,0
18,SAR_nb-x86,24968,561091032,2305,258,52,209523145582963,-125894825,569275385,791,1518335,6740,48,52,47,48,47,45,48,51,46,48,47,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,44197426,648988,246866,67099,3031,512,8744770,223405,198438,163196451,773178,157222,337747,1964,1224,30304783,213817,155490
10,pulse_doppler-nb-x86,20528,2463322326,512,21,12,209523053415444,-92167519,2463535150,1878,631235,17054,11,12,7,6,12,6,7,6,6,6,5,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,5640193,159766,21692,17074,660,476,730444,37190,66551,1311276,139929,152581,90284,3616,3673,364787,0,0
11,pulse_doppler-nb-x86,20528,2342807892,512,9,12,209523207794060,154378616,2343070379,2029,129317,15773,7,12,7,9,8,10,8,7,8,8,9,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,5026307,175557,21774,18480,909,461,913753,37621,53633,2059285,722148,146629,90330,4456,0,0,0,0
12,pulse_doppler-nb-x86,20528,2187836345,512,5,11,209523365675848,157881788,2200750219,2151,133024,16499,7,8,8,8,7,11,9,8,7,7,11,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,4780851,141347,22192,18419,764,467,824848,34474,63252,8620900,686958,140697,84425,3952,0,0,0,0
13,pulse_doppler-nb-x86,20528,2052937298,512,12,12,209523517527831,151851983,2060172863,2242,118344,14799,7,7,7,7,7,12,8,8,11,7,7,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,5461265,152763,18138,20568,793,469,800031,34365,57195,6789433,602004,127300,79559,3146,16,0,0,0
0,track_nb-x86,291568,3171964850,24580,957,98,209522858227849,-659299982,3180291094,11642,35588670,48753,97,98,98,95,95,97,93,96,94,92,93,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,2226234304,18358727,5575134,1211362,55206,6306,422204586,7546865,3145711,2845081835,64068077,16038956,3849308,63413,2983,904022423,18691725,1656864
2,track_nb-x86,291568,3046859603,24580,766,101,209523129171981,270944132,3047152459,11472,17968220,30554,94,94,99,96,98,101,96,99,96,92,93,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,2313456785,17531483,5691598,1073364,53038,4377,426128574,8316182,3132487,2832779603,62050209,15300032,3604215,56241,2325,923436455,19149882,1066602
3,track_nb-x86,291568,3012205905,24580,991,103,209523255347113,126175132,3020412344,11910,15520169,33050,98,95,95,95,103,97,95,96,93,93,96,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,2132268453,18430475,5414454,1038791,53651,4890,406836736,8401523,3400732,2859057644,60578835,14879846,3853244,54974,3168,920693263,21898059,1180107
4,track_nb-x86,291568,2909739521,24580,1022,100,209523387720781,132373668,2911217567,11643,15311813,29271,97,97,97,100,97,99,96,99,98,92,97,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,2498495123,17639468,5277628,1036803,51302,4577,416449625,7794044,3013713,2822805089,66785318,15389166,3528177,59764,2824,914255160,19559285,1219236
1,track_nb-x86,291568,3379442916,24580,1024,99,209522990600266,-397120515,3387771865,11750,11234721,31689,93,97,99,93,96,95,96,96,95,90,94,0.120118,0.123014,0.143297,0.117299,0.108921,0.101068,0.124466,0.102650,0.099373,0.105150,0.110924,2591921956,14728514,3113054,1028160,55570,4031,469527936,8343318,3607392,2697061225,61791048,12238615,3582555,59772,3347,921442127,21007212,1301096
6,temporal_mitigation-noapi-x86,61688,843673,0,0,0,209528010364833,0,10189060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,1757825,12209,4338,5305,114,0,0,0,0
29,radar_correlator-x86,20136,1205633,3,1,1,209528040510343,30145510,9411058,38140,63336,53798,1,1,1,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,249857,6495,573,1236,105,0,0,0,0,981190,15882,2975,3609,165,0,0,0,0
4,temporal_mitigation-x86,57392,2401213,4,1,1,209528077620053,37109710,10794331,3240,6724,5723,1,0,0,0,1,1,0,1,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,47876,1333,27,180,9,0,0,0,0,1721154,16860,1857,2866,82,0,0,0,0
18,radar_correlator-noapi-x86,20208,722542,0,0,0,209528116992338,39372285,9167956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,1092204,12102,2569,3065,87,0,0,0,0
7,temporal_mitigation-noapi-x86,61688,845408,0,0,0,209528120822932,3830594,22167685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,1738724,7325,1282,4756,29,0,0,0,0
26,wifi-tx-nb-x86,67888,22340383,100,10,1,209528111189580,-9633352,38864081,2595,328797,12388,1,1,1,1,1,1,1,1,1,1,1,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,1336048,29259,668,3219,215,99,192939,8194,13094,1023013,75865,2986,22913,163,0,0,0,0
30,radar_correlator-x86,20136,858194,3,1,1,209528143468579,32278999,9109748,14891,21744,19447,0,0,1,0,1,0,0,1,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,156897,1921,113,535,1,0,32454,272,750,863320,12223,1018,2729,32,0,0,0,0
8,temporal_mitigation-noapi-x86,61688,1134592,0,0,0,209528231275577,87806998,1615598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,568689,11171,1915,7843,48,0,0,0,0
31,radar_correlator-x86,20136,9118750,3,1,1,209528246785900,15510323,9289611,16736,18051,17425,0,0,0,0,1,0,0,0,0,1,1,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,78975,2043,4,276,15,2,32457,326,345,969752,17673,5026,5008,113,0,0,0,0
15,SAR-noapi-x86,20640,153594142,0,0,0,209528097070113,-149715787,162346034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,173514190,931153,79990,360858,945,310,57672612,472910,94149
5,temporal_mitigation-x86,57392,1535150,4,1,1,209528261519622,164449509,9918258,4856,7450,6141,0,0,0,0,0,0,0,1,1,1,1,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,14173,446,7,105,12,15,5616,241,143,1707850,11838,2243,2737,30,0,0,0,0
21,pulse_doppler-nb-x86,20528,236279710,512,47,14,209528071611459,-189908163,246663773,1734,3183885,15356,7,10,9,12,11,9,14,12,11,12,11,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,5139266,158365,6454,23849,931,349,696903,29531,49170,6994741,304664,9965,70475,983,372,2112578,39250,0
19,radar_correlator-noapi-x86,20208,525672,0,0,0,209528315023138,243411679,9099933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,1162071,9615,4313,3624,37,0,0,0,0
10,SAR_nb-x86,24968,280766151,2305,361,44,209528055655572,-259367566,288968758,531,692417,6679,28,32,28,44,34,28,31,30,28,40,30,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,47856142,753061,189427,72991,2220,414,7328785,245550,252448,133927903,267290,173356,706061,2400,317,36489157,16790,66386
9,temporal_mitigation-noapi-x86,61688,1271648,0,0,0,209528344693300,289037728,1464596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,1773473,20216,6102,7597,158,0,0,0,0
32,radar_correlator-x86,20136,11368091,3,1,1,209528349385345,4692045,11624970,15721,53098,28404,0,0,0,0,1,1,1,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,161930,2651,281,364,0,0,32521,310,559,968612,18086,3734,4580,138,0,0,0,0
27,wifi-tx-nb-x86,67888,120937451,100,10,2,209528291891930,-57493415,129205604,2201,299843,14654,2,1,2,1,2,1,1,1,2,1,1,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,1035834,29149,3790,5447,329,131,181913,6469,11183,261808,90690,30258,67379,243,0,0,0,0
33,radar_correlator-x86,20136,8628813,3,1,1,209528452343592,160451662,13019638,14697,17912,16643,0,1,1,0,1,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,1178,949,8,559,3,0,48200,307,0,883065,12521,4819,2950,46,0,0,0,0
11,SAR_nb-x86,24968,281180784,2305,281,49,209528213720485,-238623107,289679575,504,806906,6290,36,49,32,47,48,47,45,33,35,46,47,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,56299200,589200,219893,60801,2490,289,8457929,207225,189033,120845478,703523,24035,164346,1518,624,47369108,467354,150334
20,radar_correlator-noapi-x86,20208,108231282,0,0,0,209528506831127,293110642,109357807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,1083242,19845,5283,6966,206,0,0,0,0
16,SAR-noapi-x86,20640,337829093,0,0,0,209528276805513,-230025614,348070807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,150236406,334790,284724,302485,2432,526,50696633,204632,146683
17,SAR-noapi-x86,20640,162450209,0,0,0,209528456542783,179737270,174623315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,0,0,0,0,0,0,0,0,0,133328887,483867,34227,367432,1305,277,49670101,448358,18150
12,SAR_nb-x86,24968,378661576,2305,440,51,209528351226988,-105315795,379215173,510,43083,5220,49,51,48,51,47,46,48,47,49,50,47,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,43330167,663238,234246,76755,2047,363,7580698,197116,229552,166433997,1123522,259087,149129,151,185,37980414,363317,309983
28,wifi-tx-nb-x86,67888,376119230,100,10,1,209528472596717,121369729,410232591,1820,323320,10283,1,1,1,1,1,1,1,1,1,1,1,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,959822,25276,5519,4425,240,33,159197,6234,12978,12210547,104945,47101,78429,642,0,0,0,0
13,SAR_nb-x86,24968,506841620,2305,490,55,209528499000049,26403332,515823160,763,113408,5632,50,51,48,50,50,48,55,53,55,46,51,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,45780683,617552,227423,64392,2023,229,8624945,247240,221006,107851097,957409,116899,182691,1071,542,38436170,429888,224668
14,SAR_nb-x86,24968,485425813,2305,140,52,209528646780955,147780906,485793813,725,135181,5773,48,46,30,52,46,51,31,49,30,43,47,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,52043054,571022,179232,56465,2152,411,9937067,269773,199076,121857941,1262703,97129,384330,948,500,31725155,334675,424644
22,pulse_doppler-nb-x86,20528,1964471185,512,3,12,209528220084853,-426696102,1964655634,1902,945116,16949,12,11,6,5,11,5,5,5,6,6,5,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,4773666,141763,19330,22138,785,376,955288,34023,54862,23520874,698716,141782,101453,3393,0,0,0,0
23,pulse_doppler-nb-x86,20528,2022263328,512,26,14,209528368554436,148469583,2033672888,2066,151973,13694,9,9,14,8,12,8,11,13,7,9,9,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,4884218,132685,16433,18885,735,283,965201,39507,57931,23444872,667934,148119,92711,3808,0,0,0,0
25,pulse_doppler-nb-x86,20528,1787888772,512,13,13,209528665682699,297128263,1788207098,1830,115833,14507,11,7,10,7,5,5,13,6,4,5,6,0.138871,0.133503,0.144364,0.138947,0.129951,0.139228,0.140595,0.136793,0.134073,0.134169,0.136779,4707384,126788,13635,19237,803,348,946676,34160,56283,13152646,453598,126057,87870,2941,352,1286223,0,0
